,SupervisedPG,SelfplayPG
SupervisedPG,"(5.019326974937424, 4.93488205132232)","(5.0771528515103945, 4.952136963124533)"
SelfplayPG,"(5.067974513550093, 4.939816790175699)","(5.082111782861437, 4.946402914638858)"
